Province,Gender,Age,Income,Value
Manitoba,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",6440
Manitoba,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",65160
Manitoba,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",58980
Manitoba,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",53070
Manitoba,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",47930
Manitoba,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",42670
Manitoba,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",31810
Manitoba,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",17830
Manitoba,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",7650
Manitoba,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",2880
Manitoba,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",830
Manitoba,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",390
Manitoba,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",260
Manitoba,Females,65 years and over,Total persons with income (5),97850
Manitoba,Females,65 years and over,"Persons with income under $5,000 (5)",830
Manitoba,Females,65 years and over,"Persons with income of $5,000 and over (5)",97020
Manitoba,Females,65 years and over,"Persons with income of $10,000 and over (5)",92800
Manitoba,Females,65 years and over,"Persons with income of $15,000 and over (5)",79870
Manitoba,Females,65 years and over,"Persons with income of $20,000 and over (5)",56770
Manitoba,Females,65 years and over,"Persons with income of $25,000 and over (5)",39360
Manitoba,Females,65 years and over,"Persons with income of $35,000 and over (5)",22880
Manitoba,Females,65 years and over,"Persons with income of $50,000 and over (5)",10340
Manitoba,Females,65 years and over,"Persons with income of $75,000 and over (5)",3220
Manitoba,Females,65 years and over,"Persons with income of $100,000 and over (5)",1490
Manitoba,Females,65 years and over,"Persons with income of $150,000 and over (5)",600
Manitoba,Females,65 years and over,"Persons with income of $200,000 and over (5)",330
Manitoba,Females,65 years and over,"Persons with income of $250,000 and over (5)",210
Saskatchewan,Both sexes,"All age groups (4,10)",Total persons with income (5),791320
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",53260
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",738060
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",690170
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",629660
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",553210
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",492470
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",390180
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",256360
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",128810
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",62830
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",17630
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",7580
Saskatchewan,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",4340
Saskatchewan,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),108510
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",18590
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",89920
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",72460
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",56290
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",43570
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",34600
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",21340
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",9950
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",3130
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",950
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",110
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",30
Saskatchewan,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Saskatchewan,Both sexes,25 to 34 years (4),Total persons with income (5),145050
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",9830
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",135220
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",126630
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",117410
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",107640
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",98010
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",78190
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",50980
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",22770
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",9570
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",1730
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",520
Saskatchewan,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",220
Saskatchewan,Both sexes,35 to 44 years (4),Total persons with income (5),123600
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",7640
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",115960
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",110280
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",104060
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",97690
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",91330
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",76920
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",54740
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",30140
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",14500
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",3770
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",1520
Saskatchewan,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",830
Saskatchewan,Both sexes,45 to 54 years (4),Total persons with income (5),137890
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",7950
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",129940
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",124580
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",117590
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",110960
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",104470
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",89450
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",64480
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",36870
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",19090
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",5670
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",2500
Saskatchewan,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",1470
Saskatchewan,Both sexes,55 to 64 years (4),Total persons with income (5),123330
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",8050
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",115280
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",108800
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",100310
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",93130
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",86470
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",72060
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",49100
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",26180
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",13840
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",4380
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",1970
Saskatchewan,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",1130
Saskatchewan,Both sexes,65 years and over,Total persons with income (5),152940
Saskatchewan,Both sexes,65 years and over,"Persons with income under $5,000 (5)",1200
Saskatchewan,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",151750
Saskatchewan,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",147420
Saskatchewan,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",133990
Saskatchewan,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",100220
Saskatchewan,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",77600
Saskatchewan,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",52210
Saskatchewan,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",27110
Saskatchewan,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",9720
Saskatchewan,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",4880
Saskatchewan,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",1970
Saskatchewan,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",1040
Saskatchewan,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",690
Saskatchewan,Males,"All age groups (4,10)",Total persons with income (5),387090
Saskatchewan,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",22620
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",364470
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",347410
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",324990
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",295260
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",271960
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",229200
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",164820
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",90160
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",48000
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",14180
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",6060
Saskatchewan,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",3470
Saskatchewan,Males,"0 to 24 years (4,10)",Total persons with income (5),54910
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",8740
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",46170
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",38950
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",32130
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",26460
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",22290
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",15280
Saskatchewan,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",7880
